"","code","country","age_midage","age_old","age_veryold","age_veryyoung","age_young","code_numeric","education","fhpolrigaug","laborshare","lpop","lrgdpch","medage","nsave","polity4","socialist","year","year_numeric","sample","worldincome","worlddemocracy","samplebalancefe","samplebalancegmm","lag_fhpolrigaug","lag_lrgdpch"
"1","ARG","Argentina",0.1992404,0.1547515,0.1072994,0.2936856,0.2450232,6,5.876,0.1666667,0.320524,10.08422,9.13399,27.4,0.2530578,0.05,0,1970,35,1,3.07886,0.0749058,1,1,0.53,9.01616
"2","ARG","Argentina",0.1903409,0.1549447,0.1140587,0.2921913,0.2484644,6,5.845,0.8333333,0.198948,10.16774,9.20284,27.3,0.2928642,0.8,0,1975,36,1,3.102201,0.072371,1,1,0.1666667,9.13399
"3","ARG","Argentina",0.1861674,0.1524579,0.1190688,0.305165,0.2371409,6,6.618,0.1666667,0.1957906,10.24331,9.271142,27.2,0.2375593,0.05,0,1980,37,1,3.125826,0.0783461,1,1,0.8333333,9.20284
"4","ARG","Argentina",0.1887477,0.1458505,0.1244019,0.3100148,0.230985,6,6.744,0.8333333,0.1852767,10.31907,9.065316,27.2,0.219168,0.9,0,1985,38,1,3.134467,0.0848765,1,1,0.1666667,9.271142
"5","ARG","Argentina",0.1903093,0.1403185,0.1292505,0.3062166,0.2339052,6,7.767,1,NA,10.38983,8.884429,27.2,0.1972519,0.85,0,1990,39,1,3.152237,0.0974269,1,1,0.8333333,9.065316
"6","ARG","Argentina",0.1899735,0.1407904,0.1318454,0.2890014,0.2483893,6,8.119,0.8333333,NA,10.45645,9.236609,27.4,0.1758085,0.85,0,1995,40,1,3.166904,0.0963091,1,1,1,8.884429
"7","ARG","Argentina",0.1878136,0.1454388,0.134272,0.2768787,0.2555969,6,NA,1,NA,10.51954,9.306237,27.9,0.1529234,0.9,0,2000,41,1,3.191718,0.0968121,1,1,0.8333333,9.236609
"8","AUS","Australia",0.1824346,0.1611359,0.1225271,0.2884493,0.2454531,9,10.094,1,0.5442176,9.434044,9.603759,27.6,0.2852842,1,0,1970,35,1,6.520787,0.1795406,1,1,1,9.420744
"9","AUS","Australia",0.1813408,0.1579629,0.1278953,0.2758596,0.2569414,9,9.808,1,0.5442806,9.539141,9.657485,28,0.240812,1,0,1975,36,1,6.569132,0.1792695,1,1,1,9.603759
"10","AUS","Australia",0.2001784,0.152896,0.1372495,0.2528822,0.2567939,9,10.019,1,0.5330667,9.595058,9.748026,29.4,0.2364305,1,0,1980,37,1,6.617224,0.1922643,1,1,1,9.657485
"11","AUS","Australia",0.2167743,0.147542,0.1450489,0.2359522,0.2546826,9,10.061,1,0.4268549,9.665104,9.820157,30.6,0.2164991,1,0,1985,38,1,6.656436,0.1965073,1,1,1,9.748026
"12","AUS","Australia",0.233211,0.1482293,0.1545659,0.218998,0.2449958,9,10.124,1,0.3536574,9.744791,9.906652,32.2,0.223958,1,0,1990,39,1,6.70591,0.2039747,1,1,1,9.820157
"13","AUS","Australia",0.2333997,0.1674413,0.1583112,0.2151948,0.2256529,9,10.307,1,NA,9.80162,10.01196,33.7,0.2163826,1,0,1995,40,1,6.739743,0.203664,1,1,1,9.906652
"14","AUS","Australia",0.2273273,0.1854018,0.1638908,0.2051376,0.2182426,9,NA,1,NA,9.861728,10.14875,35.2,0.2121625,1,0,2000,41,1,6.817255,0.2065926,1,1,1,10.01196
"15","AUT","Austria",0.1825854,0.1662425,0.2009377,0.2435365,0.2066979,10,7.011,1,0.5173746,8.912743,9.321485,33.9,0.3125429,1,0,1970,35,1,13.00335,0.2898374,1,1,0.97,9.080444
"16","AUT","Austria",0.1885722,0.162048,0.2034838,0.2322513,0.2136448,10,6.832,1,0.5762346,8.930098,9.49425,33.8,0.2715751,1,0,1975,36,1,13.06413,0.2892413,1,1,1,9.321485
"17","AUT","Austria",0.1987018,0.173003,0.1914161,0.2042655,0.2326136,10,8.425,1,0.5532086,8.9297,9.666615,34.7,0.2722035,1,0,1980,37,1,13.13671,0.2962038,1,1,1,9.49425
"18","AUT","Austria",0.2016895,0.1689546,0.1983896,0.1828142,0.2481521,10,8.261,1,0.5242237,8.929965,9.726995,35.2,0.23956,1,0,1985,38,1,13.18225,0.2985473,1,1,1,9.666615
"19","AUT","Austria",0.209525,0.1748415,0.201113,0.1741944,0.2403261,10,8.218,1,0.5367209,8.952308,9.894085,35.6,0.2552107,1,0,1990,39,1,13.25398,0.4392782,1,1,1,9.726995
"20","AUT","Austria",0.2319831,0.1810388,0.1975646,0.1754473,0.2139662,10,8.439,1,NA,8.993054,9.953502,36.4,0.234021,1,0,1995,40,1,13.28773,0.4399922,1,1,1,9.894085
"21","AUT","Austria",0.2520677,0.1872608,0.206888,0.1665227,0.1872608,10,NA,1,NA,9.000883,10.07224,38.3,0.2356497,1,0,2000,41,1,13.3477,0.4463326,1,1,1,9.953502
"22","BDI","Burundi",0.1424915,0.092719,0.0534699,0.4453925,0.2659272,14,NA,0,0.2657666,8.164511,6.743066,17.4,0.0359855,0.15,0,1970,35,1,5.66762,0.1300251,1,1,0.58,6.400949
"23","BDI","Burundi",0.1310139,0.0867083,0.055178,0.4550149,0.2720848,14,NA,0,0.1580803,8.210668,6.644792,17,-0.0314605,0.15,0,1975,36,1,5.703063,0.1269359,1,1,0,6.743066
"24","BDI","Burundi",0.1302663,0.0801453,0.0542373,0.4474576,0.2878935,14,NA,0,0.181053,8.326033,6.623969,17.3,-0.0059692,0.15,0,1980,37,1,5.735605,0.1359356,1,1,0,6.644792
"25","BDI","Burundi",0.1469622,0.0745074,0.0509031,0.4421182,0.285509,14,NA,0,0.1750481,8.464004,6.609796,17.7,0.0410764,0.15,0,1985,38,1,5.763219,0.1337735,1,1,0,6.623969
"26","BDI","Burundi",0.157097,0.071505,0.0474322,0.4543509,0.2696148,14,1.229,0,NA,8.604471,6.719303,17.3,-0.0537377,0.15,0,1990,39,1,5.796784,0.162043,1,1,0,6.609796
"27","BDI","Burundi",0.1522497,0.0702308,0.0449942,0.4736842,0.2588411,14,NA,0.1666667,NA,8.725183,6.541517,16.3,-0.0481411,NA,0,1995,40,1,5.818173,0.1624701,1,1,0,6.719303
"28","BDI","Burundi",0.1303654,0.0730812,0.0443593,0.4799745,0.2722196,14,NA,0.1666667,NA,8.825706,6.25998,15.8,-0.0523435,0.45,0,2000,41,1,5.862669,0.1639201,1,1,0.1666667,6.541517
"29","BEL","Belgium",0.1952154,0.1707747,0.1895195,0.2359155,0.208575,15,8.398,1,0.4653485,9.173469,9.404516,34.5,0.302115,1,0,1970,35,1,NA,NA,1,1,1,9.188131
"30","BEL","Belgium",0.1837193,0.1724982,0.191574,0.2221769,0.2300316,15,7.878,1,0.4891019,9.189628,9.550781,34.1,0.2488989,1,0,1975,36,1,NA,NA,1,1,1,9.404516
"31","BEL","Belgium",0.1911959,0.1863272,0.1853129,0.2003246,0.2368394,15,7.849,1,0.4812134,9.194922,9.700546,34.2,0.2141755,1,0,1980,37,1,NA,NA,1,1,1,9.550781
"32","BEL","Belgium",0.2030029,0.1797707,0.1962057,0.1880897,0.2329309,15,8.16,1,0.3894584,9.196038,9.737533,35.3,0.1937226,1,0,1985,38,1,NA,NA,1,1,1,9.700546
"33","BEL","Belgium",0.2229133,0.1696429,0.2053571,0.1812801,0.2208066,15,8.426,1,0.420909,9.207075,9.897312,36.3,0.2498978,1,0,1990,39,1,NA,NA,1,1,1,9.737533
